날짜,시작,시작시간,종료,종료시간,장소,원인,피해면적(ha),SIG_KOR_NM,경도,위도,피해면적평균
2018-08-19,9:42:00,2018-08-19 9:42,16:00:00,2018-08-19 16:00,경남 함양 도북,입산자실화,0.01,경남 함양,127.7274194,35.51746944,0.612157
2019-04-06,13:08:00,2019-04-06 13:08,17:00:00,2019-04-06 17:00,경남 진주 자매,쓰레기소각,0.03,경남 진주,128.11,35.17703333,0.096875
2019-04-05,15:57:00,2019-04-05 15:57,16:50:00,2019-04-05 16:50,경남 산청 중촌,담뱃불실화,0.01,경남 산청,127.8756194,35.41249167,0.393421
2019-04-04,15:55:00,2019-04-04 15:55,18:10:00,2019-04-04 18:10,경남 함안 장암,건축물화재비화,0.5,경남 함안,128.4087083,35.26940556,0.351538
2019-04-04,11:22:00,2019-04-04 11:22,12:10:00,2019-04-04 12:10,경남 의령 연,쓰레기소각,0.01,경남 의령,128.2638222,35.31911944,0.503636
2019-04-03,21:19:00,2019-04-03 21:19,0:00:00,2019-04-03 0:00,경남 합천 장전,건축물화재비화,0.05,경남 합천,128.1679306,35.56361667,21.828
2019-04-03,14:50:00,2019-04-03 14:50,16:00:00,2019-04-03 16:00,경남 거창 송정,기타,0.2,경남 거창,127.9116556,35.683625,0.115455
2019-04-03,13:05:00,2019-04-03 13:05,17:40:00,2019-04-03 17:40,경남 거제 연구,입산자실화,0.03,경남 거제,128.6233556,34.87735833,0.062222
2019-04-03,12:29:00,2019-04-03 12:29,16:50:00,2019-04-03 16:50,경남 양산 대,기타,1,경남 양산,129.0394111,35.33192778,0.313824
2019-04-03,12:10:00,2019-04-03 12:10,19:00:00,2019-04-03 19:00,경남 합천 성,기타,0.2,경남 합천,128.1679306,35.56361667,21.828
2019-04-02,15:08:00,2019-04-02 15:08,17:00:00,2019-04-02 17:00,경남 양산 소토,건축물화재비화,0.01,경남 양산,129.0394111,35.33192778,0.313824
2019-04-02,14:16:00,2019-04-02 14:16,15:03:00,2019-04-02 15:03,경남 양산 삼감,기타,0.01,경남 양산,129.0394111,35.33192778,0.313824
2019-04-02,8:12:00,2019-04-02 8:12,14:00:00,2019-04-02 14:00,경남 통영 황지,입산자실화,0.1,경남 통영,128.4352778,34.85125833,0.075455
2019-03-30,13:28:00,2019-03-30 13:28,15:10:00,2019-03-30 15:10,경남 진주 하촌,기타,0.01,경남 진주,128.11,35.17703333,0.096875
2019-03-27,14:44:00,2019-03-27 14:44,12:00:00,2019-03-27 12:00,경남 함안 운시,건축물화재비화,2,경남 함안,128.4087083,35.26940556,0.351538
2019-03-26,19:24:00,2019-03-26 19:24,21:02:00,2019-03-26 21:02,경남 양산 삼감,기타,0.03,경남 양산,129.0394111,35.33192778,0.313824
2019-03-26,16:37:00,2019-03-26 16:37,17:37:00,2019-03-26 17:37,경남 함양 당본,기타,0.03,경남 함양,127.7274194,35.51746944,0.612157
2019-03-26,15:05:00,2019-03-26 15:05,15:39:00,2019-03-26 15:39,경남 합천 매촌,기타,0.01,경남 합천,128.1679306,35.56361667,21.828
2019-03-18,14:30:00,2019-03-18 14:30,16:55:00,2019-03-18 16:55,경남 거제 소동,입산자실화,0.02,경남 거제,128.6233556,34.87735833,0.062222
2019-03-17,21:02:00,2019-03-17 21:02,1:30:00,2019-03-17 1:30,경남 양산 화제,기타,0.1,경남 양산,129.0394111,35.33192778,0.313824
2019-03-16,13:40:00,2019-03-16 13:40,14:50:00,2019-03-16 14:50,경남 함안 외암,기타,0.01,경남 함안,128.4087083,35.26940556,0.351538
2019-03-16,6:15:00,2019-03-16 6:15,8:30:00,2019-03-16 8:30,경남 통영 양지,기타,0.01,경남 통영,128.4352778,34.85125833,0.075455
2019-03-15,15:33:00,2019-03-15 15:33,17:00:00,2019-03-15 17:00,경남 통영 도선,기타,0.1,경남 통영,128.4352778,34.85125833,0.075455
2019-03-15,0:50:00,2019-03-15 0:50,4:35:00,2019-03-15 4:35,경남 거제 소동,입산자실화,0.05,경남 거제,128.6233556,34.87735833,0.062222
2019-03-09,12:10:00,2019-03-09 12:10,13:10:00,2019-03-09 13:10,경남 산청 내곡,쓰레기소각,0.01,경남 산청,127.8756194,35.41249167,0.393421
2019-03-08,15:41:00,2019-03-08 15:41,17:10:00,2019-03-08 17:10,경남 합천 용흥,농산부산물소각,0.1,경남 합천,128.1679306,35.56361667,21.828
2019-03-08,15:19:00,2019-03-08 15:19,17:00:00,2019-03-08 17:00,경남 합천 역평,입산자실화,0.05,경남 합천,128.1679306,35.56361667,21.828
2019-03-07,15:00:00,2019-03-07 15:00,16:30:00,2019-03-07 16:30,경남 거창 둔동,기타,0.01,경남 거창,127.9116556,35.683625,0.115455
2019-03-05,10:48:00,2019-03-05 10:48,12:30:00,2019-03-05 12:30,경남 산청 노은,농산부산물소각,0.01,경남 산청,127.8756194,35.41249167,0.393421
2019-03-02,16:50:00,2019-03-02 16:50,18:50:00,2019-03-02 18:50,경남 거창 봉계,쓰레기소각,0.1,경남 거창,127.9116556,35.683625,0.115455
2019-03-01,15:05:00,2019-03-01 15:05,16:00:00,2019-03-01 16:00,경남 진주 유수,농산부산물소각,0.01,경남 진주,128.11,35.17703333,0.096875
2019-03-01,11:58:00,2019-03-01 11:58,15:00:00,2019-03-01 15:00,경남 밀양 성덕,입산자실화,0.02,경남 밀양,128.7489444,35.50077778,28.37519
2019-02-24,16:01:00,2019-02-24 16:01,17:40:00,2019-02-24 17:40,경남 거제 관포,입산자실화,0.01,경남 거제,128.6233556,34.87735833,0.062222
2019-02-24,14:00:00,2019-02-24 14:00,14:30:00,2019-02-24 14:30,경남 산청 외고,쓰레기소각,0.01,경남 산청,127.8756194,35.41249167,0.393421
2019-02-16,13:31:00,2019-02-16 13:31,15:03:00,2019-02-16 15:03,경남 합천 오도,입산자실화,0.1,경남 합천,128.1679306,35.56361667,21.828
2019-02-09,12:45:00,2019-02-09 12:45,16:00:00,2019-02-09 16:00,경남 산청 내,건축물화재비화,0.1,경남 산청,127.8756194,35.41249167,0.393421
2019-02-09,12:30:00,2019-02-09 12:30,14:20:00,2019-02-09 14:20,경남 함양 양백,건축물화재비화,0.01,경남 함양,127.7274194,35.51746944,0.612157
2019-02-06,15:43:00,2019-02-06 15:43,17:12:00,2019-02-06 17:12,경남 양산 내석,기타,0.05,경남 양산,129.0394111,35.33192778,0.313824
2019-01-30,12:05:00,2019-01-30 12:05,14:20:00,2019-01-30 14:20,경남 하동 용강,건축물화재비화,0.1,경남 하동,127.7534306,35.06420278,5.1535
2019-01-29,15:08:00,2019-01-29 15:08,16:20:00,2019-01-29 16:20,경남 밀양 마산,기타,0.01,경남 밀양,128.7489444,35.50077778,28.37519
2019-01-27,15:08:00,2019-01-27 15:08,18:00:00,2019-01-27 18:00,경남 통영 금평,기타,0.01,경남 통영,128.4352778,34.85125833,0.075455
2019-01-24,16:00:00,2019-01-24 16:00,16:46:00,2019-01-24 16:46,경남 합천 방곡,기타,0.01,경남 합천,128.1679306,35.56361667,21.828
2018-06-23,17:00:00,2018-06-23 17:00,20:00:00,2018-06-23 20:00,경남 함안 덕남,입산자실화,0.02,경남 함안,128.4087083,35.26940556,0.351538
2018-04-30,6:34:00,2018-04-30 6:34,7:50:00,2018-04-30 7:50,경남 사천 감곡,입산자실화,0.02,경남 사천,128.0667778,35.00028333,0.08
2018-04-21,16:15:00,2018-04-21 16:15,21:00:00,2018-04-21 21:00,경남 밀양 고례,건축물화재비화,0.5,경남 밀양,128.7489444,35.50077778,28.37519
2018-03-31,15:49:00,2018-03-31 15:49,18:00:00,2018-03-31 18:00,경남 함양 도천,건축물화재비화,0.02,경남 함양,127.7274194,35.51746944,0.612157
2018-03-30,14:02:00,2018-03-30 14:02,16:00:00,2018-03-30 16:00,경남 고성 미룡,건축물화재비화,0.01,경남 고성,128.3245417,34.9699,0.121765
2018-03-29,15:07:00,2018-03-29 15:07,17:30:00,2018-03-29 17:30,경남 함양 화촌,농산부산물소각,0.1,경남 함양,127.7274194,35.51746944,0.612157
2018-03-28,13:17:00,2018-03-28 13:17,17:00:00,2018-03-28 17:00,경남 합천 회양,건축물화재비화,0.01,경남 합천,128.1679306,35.56361667,21.828
2018-03-28,10:08:00,2018-03-28 10:08,11:00:00,2018-03-28 11:00,경남 거창 용산,입산자실화,0.01,경남 거창,127.9116556,35.683625,0.115455
2018-03-27,16:12:00,2018-03-27 16:12,20:00:00,2018-03-27 20:00,경남 진주 정평,건축물화재비화,0.01,경남 진주,128.11,35.17703333,0.096875
2018-03-26,11:35:00,2018-03-26 11:35,14:20:00,2018-03-26 14:20,경남 밀양 동산,입산자실화,0.2,경남 밀양,128.7489444,35.50077778,28.37519
2018-03-25,15:58:00,2018-03-25 15:58,17:40:00,2018-03-25 17:40,경남 합천 거산,농산부산물소각,0.02,경남 합천,128.1679306,35.56361667,21.828
2018-03-25,14:08:00,2018-03-25 14:08,16:20:00,2018-03-25 16:20,경남 거제 내간,입산자실화,0.02,경남 거제,128.6233556,34.87735833,0.062222
2018-03-14,15:32:00,2018-03-14 15:32,17:00:00,2018-03-14 17:00,경남 거제 소동,입산자실화,0.01,경남 거제,128.6233556,34.87735833,0.062222
2018-03-12,14:11:00,2018-03-12 14:11,16:00:00,2018-03-12 16:00,경남 함안 수곡,건축물화재비화,0.01,경남 함안,128.4087083,35.26940556,0.351538
2018-03-03,17:25:00,2018-03-03 17:25,18:40:00,2018-03-03 18:40,경남 진주 검암,건축물화재비화,0.01,경남 진주,128.11,35.17703333,0.096875
2018-03-03,12:33:00,2018-03-03 12:33,15:00:00,2018-03-03 15:00,경남 함양 운서,건축물화재비화,0.01,경남 함양,127.7274194,35.51746944,0.612157
2018-02-26,14:30:00,2018-02-26 14:30,19:00:00,2018-02-26 19:00,경남 남해 작장,농산부산물소각,0.1,경남 남해,127.8924,34.8376,0.142222
2018-02-26,12:13:00,2018-02-26 12:13,15:00:00,2018-02-26 15:00,경남 진주 신율,입산자실화,0.01,경남 진주,128.11,35.17703333,0.096875
2018-02-25,14:56:00,2018-02-25 14:56,17:50:00,2018-02-25 17:50,경남 산청 대포,건축물화재비화,0.1,경남 산청,127.8756194,35.41249167,0.393421
2018-02-25,7:25:00,2018-02-25 7:25,13:00:00,2018-02-25 13:00,경남 합천 노양,입산자실화,0.2,경남 합천,128.1679306,35.56361667,21.828
2018-02-21,16:29:00,2018-02-21 16:29,9:00:00,2018-02-21 9:00,경남 합천 외사,농산부산물소각,1,경남 합천,128.1679306,35.56361667,21.828
2018-02-21,16:13:00,2018-02-21 16:13,18:00:00,2018-02-21 18:00,경남 합천 손목,쓰레기소각,0.01,경남 합천,128.1679306,35.56361667,21.828
2018-02-20,14:47:00,2018-02-20 14:47,18:00:00,2018-02-20 18:00,경남 고성 보전,건축물화재비화,0.05,경남 고성,128.3245417,34.9699,0.121765
2018-02-20,14:22:00,2018-02-20 14:22,15:46:00,2018-02-20 15:46,경남 김해 덕산,기타,0.01,경남 김해,128.8916667,35.22550556,0.324
2018-02-19,15:18:00,2018-02-19 15:18,21:00:00,2018-02-19 21:00,경남 합천 앙진,입산자실화,0.03,경남 합천,128.1679306,35.56361667,21.828
2018-02-17,15:35:00,2018-02-17 15:35,17:40:00,2018-02-17 17:40,경남 김해 대감,기타,0.1,경남 김해,128.8916667,35.22550556,0.324
2018-02-16,12:13:00,2018-02-16 12:13,12:45:00,2018-02-16 12:45,경남 합천 서산,기타,0.01,경남 합천,128.1679306,35.56361667,21.828
2018-02-15,15:06:00,2018-02-15 15:06,16:00:00,2018-02-15 16:00,경남 양산 소토,기타,0.02,경남 양산,129.0394111,35.33192778,0.313824
2018-02-15,14:40:00,2018-02-15 14:40,17:10:00,2018-02-15 17:10,경남 거제 옥림,입산자실화,0.15,경남 거제,128.6233556,34.87735833,0.062222
2018-02-15,14:13:00,2018-02-15 14:13,15:00:00,2018-02-15 15:00,경남 함양 호산,담뱃불실화,0.01,경남 함양,127.7274194,35.51746944,0.612157
2018-02-13,10:28:00,2018-02-13 10:28,11:40:00,2018-02-13 11:40,경남 김해,입산자실화,0.01,경남 김해,128.8916667,35.22550556,0.324
2018-02-12,3:12:00,2018-02-12 3:12,5:30:00,2018-02-12 5:30,경남 창녕 옥천,입산자실화,0.01,경남 창녕,128.4945333,35.54153611,0.652
2018-02-10,23:47:00,2018-02-10 23:47,11:00:00,2018-02-10 11:00,경남 고성 어신,입산자실화,1.5,경남 고성,128.3245417,34.9699,0.121765
2018-02-10,0:29:00,2018-02-10 0:29,2:15:00,2018-02-10 2:15,경남 창녕 장가,입산자실화,0.01,경남 창녕,128.4945333,35.54153611,0.652
2018-02-09,14:20:00,2018-02-09 14:20,16:00:00,2018-02-09 16:00,경남 진주 유곡,쓰레기소각,0.03,경남 진주,128.11,35.17703333,0.096875
2018-02-07,3:37:00,2018-02-07 3:37,18:00:00,2018-02-07 18:00,경남 양산 원,입산자실화,1.2,경남 양산,129.0394111,35.33192778,0.313824
2018-02-06,8:27:00,2018-02-06 8:27,18:00:00,2018-02-06 18:00,경남 진주 정평,건축물화재비화,0.05,경남 진주,128.11,35.17703333,0.096875
